2025-08-30 14:28:32,270 - root - INFO - Starting training with config:
2025-08-30 14:28:32,270 - root - INFO - {
  "seed": 42,
  "device": "cpu",
  "train_dir": "P:/PycharmProjects/pythonProject1/dataset",
  "dev_dir": "P:/PycharmProjects/pythonProject1/devDataset",
  "test_dir": "P:/PycharmProjects/pythonProject1/testDataset",
  "segment_length": 3.0,
  "sampling_rate": 16000,
  "batch_size": 32,
  "num_workers": 4,
  "chaotic_feature_dim": 64,
  "chaotic_dim": 3,
  "trajectory_points": 100,
  "embedding_dim": 256,
  "use_chaotic_embedding": true,
  "use_attractor_pooling": true,
  "system_type": "lorenz",
  "num_epochs": 100,
  "learning_rate": 0.001,
  "weight_decay": 1e-05,
  "lr_patience": 5,
  "ce_weight": 1.0,
  "triplet_weight": 0.1,
  "triplet_margin": 0.2,
  "log_dir": "logs",
  "checkpoint_dir": "checkpoints",
  "output_dir": "output",
  "plot_dir": "plots",
  "log_interval": 10,
  "checkpoint_interval": 5,
  "plot_interval": 5,
  "resume_checkpoint": null,
  "visualize_embeddings": true,
  "max_delay": 100,
  "max_dim": 10,
  "delay_method": "autocorr",
  "mlsa_scales": [
    1,
    2,
    4,
    8,
    16
  ],
  "rqa_threshold": null,
  "pooling_type": "combined",
  "epsilon_range": [
    0.01,
    0.1,
    0.5,
    1.0
  ],
  "use_correlation_dim": true,
  "use_lyapunov_dim": true,
  "use_entropy": true
}
2025-08-30 14:28:32,270 - root - INFO - Using device: cpu
2025-08-30 14:28:33,066 - root - INFO - Creating data loaders...
2025-08-30 15:04:40,643 - root - INFO - Number of speakers: 149
2025-08-30 15:04:40,647 - root - INFO - Creating model...
2025-08-30 15:05:06,872 - root - INFO - Starting training...
2025-08-30 15:06:55,518 - root - INFO - Epoch 0 [10/314] - Loss: 12.0647, Acc: 0.0000
2025-08-30 15:07:25,792 - root - INFO - Epoch 0 [20/314] - Loss: 12.5026, Acc: 0.0000
2025-08-30 15:07:56,643 - root - INFO - Epoch 0 [30/314] - Loss: 11.6624, Acc: 0.0000
2025-08-30 15:08:27,263 - root - INFO - Epoch 0 [40/314] - Loss: 11.0072, Acc: 0.0000
2025-08-30 15:08:58,133 - root - INFO - Epoch 0 [50/314] - Loss: 11.1670, Acc: 0.0000
2025-08-30 15:09:28,791 - root - INFO - Epoch 0 [60/314] - Loss: 10.7820, Acc: 0.0000
2025-08-30 15:09:59,064 - root - INFO - Epoch 0 [70/314] - Loss: 11.1939, Acc: 0.0000
2025-08-30 15:10:29,559 - root - INFO - Epoch 0 [80/314] - Loss: 11.2388, Acc: 0.0000
2025-08-30 15:10:59,707 - root - INFO - Epoch 0 [90/314] - Loss: 10.5676, Acc: 0.0000
2025-08-30 15:11:29,782 - root - INFO - Epoch 0 [100/314] - Loss: 10.9033, Acc: 0.0000
2025-08-30 15:11:59,927 - root - INFO - Epoch 0 [110/314] - Loss: 11.4751, Acc: 0.0000
2025-08-30 15:12:30,270 - root - INFO - Epoch 0 [120/314] - Loss: 10.8542, Acc: 0.0000
2025-08-30 15:13:00,386 - root - INFO - Epoch 0 [130/314] - Loss: 11.2528, Acc: 0.0000
2025-08-30 15:13:30,773 - root - INFO - Epoch 0 [140/314] - Loss: 10.9016, Acc: 0.0000
2025-08-30 15:14:00,891 - root - INFO - Epoch 0 [150/314] - Loss: 11.2074, Acc: 0.0000
2025-08-30 15:14:31,073 - root - INFO - Epoch 0 [160/314] - Loss: 11.3244, Acc: 0.0000
2025-08-30 15:15:01,295 - root - INFO - Epoch 0 [170/314] - Loss: 11.0116, Acc: 0.0000
2025-08-30 15:15:31,770 - root - INFO - Epoch 0 [180/314] - Loss: 11.1473, Acc: 0.0000
2025-08-30 15:16:02,016 - root - INFO - Epoch 0 [190/314] - Loss: 10.5408, Acc: 0.0000
2025-08-30 15:16:32,314 - root - INFO - Epoch 0 [200/314] - Loss: 10.8124, Acc: 0.0000
2025-08-30 15:17:02,466 - root - INFO - Epoch 0 [210/314] - Loss: 11.0764, Acc: 0.0000
2025-08-30 15:17:32,708 - root - INFO - Epoch 0 [220/314] - Loss: 10.9785, Acc: 0.0000
2025-08-30 15:18:02,734 - root - INFO - Epoch 0 [230/314] - Loss: 10.7604, Acc: 0.0000
2025-08-30 15:18:33,061 - root - INFO - Epoch 0 [240/314] - Loss: 10.8958, Acc: 0.0000
2025-08-30 15:19:03,068 - root - INFO - Epoch 0 [250/314] - Loss: 10.8199, Acc: 0.0000
2025-08-30 15:19:33,514 - root - INFO - Epoch 0 [260/314] - Loss: 10.6521, Acc: 0.0000
2025-08-30 15:20:03,574 - root - INFO - Epoch 0 [270/314] - Loss: 10.3974, Acc: 0.0000
2025-08-30 15:20:33,749 - root - INFO - Epoch 0 [280/314] - Loss: 10.5015, Acc: 0.0000
2025-08-30 15:21:03,948 - root - INFO - Epoch 0 [290/314] - Loss: 11.0411, Acc: 0.0000
2025-08-30 15:21:34,094 - root - INFO - Epoch 0 [300/314] - Loss: 11.3670, Acc: 0.0000
2025-08-30 15:22:03,594 - root - INFO - Epoch 0 [310/314] - Loss: 10.8476, Acc: 0.0000
2025-08-30 15:22:15,038 - root - INFO - Epoch 0 completed - Avg Loss: 11.0618, Avg Acc: 0.0000
2025-08-30 15:24:34,804 - root - INFO - Validation Epoch 0 - Loss: 5.9577, Acc: 0.0000
2025-08-30 15:26:35,374 - root - INFO - Epoch 1 [10/314] - Loss: 11.0265, Acc: 0.0000
